Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,Reti,Assist,G+A,Amm.,Esp.,xG,npxG,xAG
362,Arthur Melo,BRA,Cen,Fiorentina,27,1996,31,22,"1,865",1,3,4,2,0,0.2,0.2,1.7
363,Leonardo Mendicino,ITA,Cen,Atalanta,17,2006,1,0,1,0,0,0,0,0,0.0,0.0,0.0
364,Alex Meret,ITA,Por,Napoli,27,1997,29,29,"2,593",0,0,0,0,0,0.0,0.0,0.1
365,Junior Messias,BRA,Cen,Genoa,33,1991,18,13,"1,053",1,0,1,0,0,1.6,1.6,1.3
366,Nikola Milenković,SRB,Dif,Fiorentina,26,1997,32,25,"2,355",0,0,0,4,0,0.4,0.4,0.7
367,Arkadiusz Milik,POL,Att,Juventus,30,1994,30,6,820,3,1,4,2,1,4.9,4.9,2.6
368,Vanja Milinković-Savić,SRB,Por,Torino,27,1997,35,35,"3,150",0,0,0,2,0,0.0,0.0,0.0
369,Yerry Mina,COL,Dif,Fiorentina,29,1994,4,0,44,0,0,0,1,0,0.1,0.1,0.0
371,Aleksei Miranchuk,RUS,Cen,Atalanta,28,1995,24,11,"1,034",3,4,7,1,0,4.7,4.7,3.2
372,Kevin Miranda,ITA,Dif,Sassuolo,21,2003,1,0,14,0,0,0,0,0,0.0,0.0,0.0
373,Antonio Mirante,ITA,Por,Milan,40,1983,1,1,90,0,0,0,0,0,0.0,0.0,0.0
374,Fabio Miretti,ITA,Cen,Juventus,20,2003,23,15,"1,054",1,1,2,2,0,1.2,1.2,1.1
375,Filippo Missori,ITA,Dif,Sassuolo,20,2004,6,0,134,0,0,0,0,0,0.1,0.1,0.0
376,Stefan Mitrović,SRB,Att,Hellas Verona,21,2002,9,3,318,0,0,0,0,0,0.1,0.1,0.1
377,Henrikh Mkhitaryan,ARM,Cen,Inter,35,1989,35,34,"2,722",2,8,10,4,0,3.6,3.6,4.4
378,Ilario Monterisi,ITA,Dif,Frosinone,22,2001,23,16,"1,468",2,2,4,1,0,1.1,1.1,0.4
379,Lorenzo Montipò,ITA,Por,Hellas Verona,28,1996,36,36,"3,240",0,1,1,0,0,0.0,0.0,0.0
380,Nikola Moro,CRO,Cen,Bologna,26,1998,22,9,750,1,0,1,0,0,0.7,0.7,0.3
381,Dany Mota,POR,Att,Monza,26,1998,32,22,"1,894",4,3,7,3,0,3.6,3.6,2.5
382,Samuele Mulattieri,ITA,Att,Sassuolo,23,2000,26,0,380,0,0,0,1,0,1.4,1.4,0.2
383,Luis Muriel,COL,Att,Atalanta,33,1991,18,2,409,2,1,3,0,0,1.5,1.5,1.7
384,Yunus Musah,USA,Cen,Milan,21,2002,29,12,"1,402",0,2,2,5,0,0.6,0.6,1.2
385,Juan Musso,ARG,Por,Atalanta,30,1994,10,10,900,0,0,0,0,0,0.0,0.0,0.0
386,Kingstone Mutandwa,ZAM,Cen,Cagliari,21,2003,4,0,26,0,0,0,0,0,0.0,0.0,0.0
387,Obite N'Dicka,CIV,Dif,Roma,24,1999,23,23,"1,988",0,3,3,6,0,0.6,0.6,1.0
388,Nahitan Nández,URU,Cen,Cagliari,28,1995,31,27,"2,164",2,2,4,7,0,3.7,2.9,2.2
389,Natan,BRA,Dif,Napoli,23,2001,14,11,952,0,0,0,3,1,0.4,0.4,0.1
390,Michel Ndary Adopo,FRA,Cen,Atalanta,23,2000,9,0,86,0,1,1,0,0,0.1,0.1,0.1
391,Dan Ndoye,SUI,Att,Bologna,23,2000,31,19,"1,681",1,1,2,4,0,4.8,4.8,1.7
392,Cyril Ngonge,BEL,Att,Hellas Verona,23,2000,19,17,"1,431",6,2,8,4,0,4.2,3.4,1.7
394,M'Baye Niang,SEN,Att,Empoli,29,1994,12,5,602,4,1,5,0,0,4.2,1.9,0.9
395,Hans Nicolussi Caviglia,ITA,Cen,Juventus,23,2000,7,3,256,0,1,1,1,0,0.1,0.1,0.6
396,Joseph Nonge,BEL,Cen,Juventus,18,2005,2,0,24,0,0,0,1,0,0.0,0.0,0.0
397,Tijjani Noslin,NED,Att,Hellas Verona,24,1999,15,15,"1,159",4,2,6,2,0,1.9,1.9,1.6
398,Simeon Nwankwo,NGA,Att,Salernitana,32,1992,14,6,655,1,0,1,0,0,1.4,1.4,0.6
399,M'Bala Nzola,ANG,Att,Fiorentina,27,1996,31,14,"1,469",2,3,5,1,0,4.4,3.6,1.6
400,Adam Obert,SVK,Dif,Cagliari,21,2002,15,9,846,0,0,0,1,0,0.1,0.1,0.9
401,Pedro Obiang,EQG,Cen,Sassuolo,32,1992,6,4,329,0,0,0,1,0,0.0,0.0,0.6
402,Guillermo Ochoa,MEX,Por,Salernitana,38,1985,21,21,"1,890",0,0,0,0,0,0.0,0.0,0.0
403,Jens Odgaard,DEN,Att,Bologna,25,1999,8,4,332,2,0,2,1,0,1.4,1.4,0.1
404,Noah Okafor,SUI,Att,Milan,23,2000,27,5,827,6,2,8,1,0,3.7,3.7,1.2
405,David Okereke,NGA,Att,Torino,26,1997,8,3,246,0,0,0,0,0,0.2,0.2,0.1
406,Caleb Okoli,ITA,Dif,Frosinone,22,2001,32,30,"2,734",0,1,1,9,0,0.5,0.5,0.8
407,Maduka Okoye,NGA,Por,Udinese,24,1999,19,19,"1,710",0,0,0,2,0,0.0,0.0,0.0
408,Mathías Olivera,URU,Dif,Napoli,26,1997,21,16,"1,389",1,1,2,3,0,0.4,0.4,0.7
409,Gaetano Oristanio,ITA,Att,Cagliari,21,2002,25,11,"1,104",2,1,3,1,0,1.8,1.8,1.1
410,Riccardo Orsolini,ITA,Att,Bologna,27,1997,31,18,"1,711",10,2,12,2,0,7.3,5.0,4.0
411,Victor Osimhen,NGA,Att,Napoli,25,1998,24,22,"1,956",15,3,18,6,1,15.3,11.4,3.1
412,Remi Oudin,FRA,Cen,Lecce,27,1996,29,21,"1,769",3,2,5,3,0,1.7,1.7,5.6
413,Anthony Oyono,GAB,Dif,Frosinone,23,2001,16,14,"1,198",0,1,1,4,0,0.1,0.1,0.9
414,Simone Pafundi,ITA,Cen,Udinese,18,2006,1,0,8,0,0,0,0,0,0.0,0.0,0.0
415,Riccardo Pagano,ITA,Cen,Roma,19,2004,4,0,51,0,0,0,0,0,0.1,0.1,0.0
416,Christos Papadopoulos,GRE,Att,Genoa,19,2004,1,0,4,0,0,0,0,0,0.0,0.0,0.0
417,Leandro Paredes,ARG,Cen,Roma,29,1994,33,31,"2,563",3,5,8,14,0,3.3,0.9,2.1
418,Fabiano Parisi,ITA,Dif,Fiorentina,23,2000,20,16,"1,441",0,1,1,4,0,0.9,0.9,2.3
419,Mario Pašalić,CRO,Cen,Atalanta,29,1995,31,20,"1,804",5,6,11,2,0,5.5,4.7,3.8
